series_id,stats_data_id,reference_date,source_population_definition,unit,year,sex,age,category,subcategory,value,flag,retrieved_at
vital_suicide_age_sex,0003411659,2024年,人口動態統計確定数（日本における日本人）,人,2024,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,19608,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2023年,人口動態統計確定数（日本における日本人）,人,2023,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,21037,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2022年,人口動態統計確定数（日本における日本人）,人,2022,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,21252,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2021年,人口動態統計確定数（日本における日本人）,人,2021,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,20291,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2020年,人口動態統計確定数（日本における日本人）,人,2020,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,20243,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2019年,人口動態統計確定数（日本における日本人）,人,2019,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,19425,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2018年,人口動態統計確定数（日本における日本人）,人,2018,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,20031,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2017年,人口動態統計確定数（日本における日本人）,人,2017,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,20468,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2016年,人口動態統計確定数（日本における日本人）,人,2016,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,21021,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2015年,人口動態統計確定数（日本における日本人）,人,2015,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,23152,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2014年,人口動態統計確定数（日本における日本人）,人,2014,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,24417,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2013年,人口動態統計確定数（日本における日本人）,人,2013,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,26063,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2010年,人口動態統計確定数（日本における日本人）,人,2010,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,29554,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2005年,人口動態統計確定数（日本における日本人）,人,2005,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,30553,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2000年,人口動態統計確定数（日本における日本人）,人,2000,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,30251,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1995年,人口動態統計確定数（日本における日本人）,人,1995,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,21420,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1990年,人口動態統計確定数（日本における日本人）,人,1990,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,20088,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1985年,人口動態統計確定数（日本における日本人）,人,1985,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,23383,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1980年,人口動態統計確定数（日本における日本人）,人,1980,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,20542,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1975年,人口動態統計確定数（日本における日本人）,人,1975,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,19975,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1970年,人口動態統計確定数（日本における日本人）,人,1970,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,15728,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1965年,人口動態統計確定数（日本における日本人）,人,1965,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,14444,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1960年,人口動態統計確定数（日本における日本人）,人,1960,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,20143,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1955年,人口動態統計確定数（日本における日本人）,人,1955,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,22477,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1950年,人口動態統計確定数（日本における日本人）,人,1950,総数,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,16311,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2024年,人口動態統計確定数（日本における日本人）,人,2024,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,13354,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2023年,人口動態統計確定数（日本における日本人）,人,2023,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,14388,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2022年,人口動態統計確定数（日本における日本人）,人,2022,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,14362,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2021年,人口動態統計確定数（日本における日本人）,人,2021,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,13508,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2020年,人口動態統計確定数（日本における日本人）,人,2020,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,13588,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2019年,人口動態統計確定数（日本における日本人）,人,2019,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,13668,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2018年,人口動態統計確定数（日本における日本人）,人,2018,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,13851,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2017年,人口動態統計確定数（日本における日本人）,人,2017,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,14336,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2016年,人口動態統計確定数（日本における日本人）,人,2016,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,14642,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2015年,人口動態統計確定数（日本における日本人）,人,2015,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,16202,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2014年,人口動態統計確定数（日本における日本人）,人,2014,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,16875,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2013年,人口動態統計確定数（日本における日本人）,人,2013,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,18158,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2010年,人口動態統計確定数（日本における日本人）,人,2010,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,21028,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2005年,人口動態統計確定数（日本における日本人）,人,2005,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,22236,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2000年,人口動態統計確定数（日本における日本人）,人,2000,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,21656,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1995年,人口動態統計確定数（日本における日本人）,人,1995,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,14231,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1990年,人口動態統計確定数（日本における日本人）,人,1990,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,12316,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1985年,人口動態統計確定数（日本における日本人）,人,1985,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,15356,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1980年,人口動態統計確定数（日本における日本人）,人,1980,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,12769,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1975年,人口動態統計確定数（日本における日本人）,人,1975,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,11744,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1970年,人口動態統計確定数（日本における日本人）,人,1970,男,総数,表章項目=死亡数,死因年次推移分類=Hi16_自殺,8761,,2026-09-07T07:39:43Z
